Date,Open,High,Low,Close,Adj Close,Volume
2023-09-01,18.899999618530273,19.059999465942383,18.84000015258789,19.049999237060547,19.049999237060547,187800
2023-09-05,19.06999969482422,19.1200008392334,18.809999465942383,18.940000534057617,18.940000534057617,87500
2023-09-06,19.030000686645508,19.290000915527344,19.030000686645508,19.18000030517578,19.18000030517578,45300
2023-09-07,19.40999984741211,19.420000076293945,18.959999084472656,18.959999084472656,18.959999084472656,95800
2023-09-08,18.950000762939453,18.950000762939453,18.690000534057617,18.780000686645508,18.780000686645508,37100
2023-09-11,18.530000686645508,18.709999084472656,18.440000534057617,18.440000534057617,18.440000534057617,37700
2023-09-12,18.479999542236328,18.549999237060547,18.329999923706055,18.549999237060547,18.549999237060547,22400
2023-09-13,18.459999084472656,18.530000686645508,18.350000381469727,18.469999313354492,18.469999313354492,22400
2023-09-14,18.389999389648438,18.389999389648438,18.149999618530273,18.149999618530273,18.149999618530273,86600
2023-09-15,18.229999542236328,18.510000228881836,18.15999984741211,18.510000228881836,18.510000228881836,79000
2023-09-18,18.649999618530273,18.649999618530273,18.270000457763672,18.450000762939453,18.450000762939453,68700
2023-09-19,18.399999618530273,18.690000534057617,18.280000686645508,18.290000915527344,18.290000915527344,74000
2023-09-20,18.200000762939453,18.600000381469727,18.1200008392334,18.579999923706055,18.579999923706055,82300
2023-09-21,18.969999313354492,19.1200008392334,18.8799991607666,19.09000015258789,19.09000015258789,86000
2023-09-22,19.040000915527344,19.139999389648438,18.920000076293945,19.1299991607666,19.1299991607666,32400
2023-09-25,19.3700008392334,19.40999984741211,19.06999969482422,19.170000076293945,19.170000076293945,106800
2023-09-26,19.3700008392334,20.010000228881836,19.280000686645508,19.969999313354492,19.969999313354492,98600
2023-09-27,19.790000915527344,20.299999237060547,19.709999084472656,19.709999084472656,19.709999084472656,101600
2023-09-28,19.770000457763672,19.8799991607666,19.219999313354492,19.260000228881836,19.260000228881836,193700
2023-09-29,18.93000030517578,19.46489906311035,18.90999984741211,19.40999984741211,19.40999984741211,67194
